ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
NapTol_Functional_sc_28_26	287	30645	30932	NapTol_Functional_sc_28	31012	-		Clostridia (186801)	CopG family transcripitonal regulator
NapTol_Functional_sc_27_0	128	1	129	NapTol_Functional_sc_27	8029	+		root (1)	hypothetical protein
NapTol_Functional_sc_27_1	689	126	815	NapTol_Functional_sc_27	8029	+		Bacteria (2)	Putative preQ0 transporter
NapTol_Functional_sc_27_2	401	815	1216	NapTol_Functional_sc_27	8029	+	1.7.1.13	Bacteria (2)	NADPH dependent preQ0 reductase (EC 1.7.1.13)
NapTol_Functional_sc_27_3	1106	1501	2607	NapTol_Functional_sc_27	8029	+	3.5.4.26	Clostridia (186801)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase 1.1.1.193)
NapTol_Functional_sc_27_4	668	2592	3260	NapTol_Functional_sc_27	8029	+	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9) [Haemophilus
NapTol_Functional_sc_27_5	1241	3260	4501	NapTol_Functional_sc_27	8029	+	4.1.99.12	Firmicutes (1239)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_27_6	467	4498	4965	NapTol_Functional_sc_27	8029	+	2.5.1.78	Bacteria (2)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
NapTol_Functional_sc_27_7	1298	5287	6585	NapTol_Functional_sc_27	8029	+	4.1.99.17	Bacteria (2)	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17)
NapTol_Functional_sc_27_8	818	6575	7393	NapTol_Functional_sc_27	8029	+	2.7.4.7	Bacteria (2)	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
NapTol_Functional_sc_27_9	638	7390	8028	NapTol_Functional_sc_27	8029	+	2.7.1.50	Monera	Hydroxyethylthiazole kinase (EC 2.7.1.50)
NapTol_Functional_sc_26_0	131	227	358	NapTol_Functional_sc_26	34269	-		root (1)	hypothetical protein
NapTol_Functional_sc_26_1	407	364	771	NapTol_Functional_sc_26	34269	-	4.99.1.3	Methanomicrobia (224756)	Sirohydrochlorin cobaltochelatase (EC 4.99.1.3)
NapTol_Functional_sc_26_2	215	990	1205	NapTol_Functional_sc_26	34269	+		Methanoculleus marisnigri (2198)	Conserved protein
NapTol_Functional_sc_26_3	1064	1277	2341	NapTol_Functional_sc_26	34269	+		Methanomicrobiales (2191)	tRNA dihydrouridine synthase B like
NapTol_Functional_sc_26_4	782	2352	3134	NapTol_Functional_sc_26	34269	+		Methanomicrobiales (2191)	Triphosphoribosyl-dephospho-CoA synthetase
NapTol_Functional_sc_26_5	569	3122	3691	NapTol_Functional_sc_26	34269	+		Methanomicrobiales (2191)	DUF447 family protein
NapTol_Functional_sc_26_6	440	3907	4347	NapTol_Functional_sc_26	34269	+		Methanoculleus (45989)	beta-Ig-H3/fasciclin
NapTol_Functional_sc_26_7	434	4553	4987	NapTol_Functional_sc_26	34269	+		Methanoculleus marisnigri (2198)	Secreted surface protein containing fasciclin-like repeats
NapTol_Functional_sc_26_8	425	5068	5493	NapTol_Functional_sc_26	34269	+		Methanoculleus (45989)	Secreted surface protein containing fasciclin-like repeats
NapTol_Functional_sc_26_9	1433	5567	7000	NapTol_Functional_sc_26	34269	-		Methanomicrobia (224756)	transposase
NapTol_Functional_sc_26_10	203	7216	7419	NapTol_Functional_sc_26	34269	+		root (1)	hypothetical protein
NapTol_Functional_sc_26_11	1187	7356	8543	NapTol_Functional_sc_26	34269	-		Methanomicrobia (224756)	Transposase
NapTol_Functional_sc_26_12	1700	9024	10724	NapTol_Functional_sc_26	34269	+		root (1)	hypothetical protein
NapTol_Functional_sc_26_13	1334	10938	12272	NapTol_Functional_sc_26	34269	+		root (1)	hypothetical protein
NapTol_Functional_sc_26_14	677	12810	13487	NapTol_Functional_sc_26	34269	-	4.1.99.12	Euryarchaeota (28890)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)
NapTol_Functional_sc_26_15	668	13480	14148	NapTol_Functional_sc_26	34269	-	2.7.1.161	Methanomicrobiales (2191)	DNA-binding HTH domain riboflavin kinase / CTP-dependent archaeal (EC 2.7.1.161)
NapTol_Functional_sc_26_16	710	14270	14980	NapTol_Functional_sc_26	34269	+		Euryarchaeota (28890)	XRE family transcriptional regulator
NapTol_Functional_sc_26_17	1052	14974	16026	NapTol_Functional_sc_26	34269	+	2.3.3.10	Euryarchaeota (28890)	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)
NapTol_Functional_sc_26_18	1160	16023	17183	NapTol_Functional_sc_26	34269	+	2.3.1.16	Euryarchaeota (28890)	3-ketoacyl-CoA thiolase (EC 2.3.1.16)
NapTol_Functional_sc_26_19	392	17186	17578	NapTol_Functional_sc_26	34269	+		Euryarchaeota (28890)	conserved protein associated acetyl-CoA C-acyltransferase
NapTol_Functional_sc_26_20	932	17724	18656	NapTol_Functional_sc_26	34269	-	2.1.1.31	Methanomicrobiales (2191)	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)
NapTol_Functional_sc_26_21	1208	18692	19900	NapTol_Functional_sc_26	34269	+	1.1.1.34	Euryarchaeota (28890)	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)
NapTol_Functional_sc_26_22	464	19959	20423	NapTol_Functional_sc_26	34269	-		Methanomicrobiales (2191)	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)
NapTol_Functional_sc_26_23	1265	20509	21774	NapTol_Functional_sc_26	34269	+		Methanomicrobiales (2191)	hypothetical protein
NapTol_Functional_sc_26_24	872	21823	22695	NapTol_Functional_sc_26	34269	+	2.4.2.17	Monera	ATP phosphoribosyltransferase (EC 2.4.2.17)
NapTol_Functional_sc_26_25	656	22709	23365	NapTol_Functional_sc_26	34269	-		Monera	Formylmethanofuran dehydrogenase subunit E
NapTol_Functional_sc_26_26	563	23599	24162	NapTol_Functional_sc_26	34269	+		Methanoculleus (45989)	hypothetical protein
NapTol_Functional_sc_26_27	1028	24186	25214	NapTol_Functional_sc_26	34269	+		Methanoculleus (45989)	hypothetical protein
NapTol_Functional_sc_26_28	515	25208	25723	NapTol_Functional_sc_26	34269	+		Methanoculleus (45989)	hypothetical protein
NapTol_Functional_sc_26_29	356	25720	26076	NapTol_Functional_sc_26	34269	+		Methanomicrobiales (2191)	hypothetical protein
NapTol_Functional_sc_26_30	461	26057	26518	NapTol_Functional_sc_26	34269	+		Methanomicrobiales (2191)	hypothetical protein
NapTol_Functional_sc_26_31	785	26515	27300	NapTol_Functional_sc_26	34269	+		Methanomicrobiaceae (2194)	unknown
NapTol_Functional_sc_26_32	260	27377	27637	NapTol_Functional_sc_26	34269	-		Archaea (2157)	Translation initiation factor 1A
NapTol_Functional_sc_26_33	665	27934	28599	NapTol_Functional_sc_26	34269	+		Methanomicrobiaceae (2194)	membrane protein
NapTol_Functional_sc_26_34	947	28658	29605	NapTol_Functional_sc_26	34269	+		Methanomicrobiaceae (2194)	Phosphoesterase (EC 3.1.-.-)
NapTol_Functional_sc_26_35	605	29602	30207	NapTol_Functional_sc_26	34269	+		root (1)	hypothetical protein
NapTol_Functional_sc_26_36	1175	30217	31392	NapTol_Functional_sc_26	34269	+		Monera	Mobile element protein
NapTol_Functional_sc_26_37	500	31470	31970	NapTol_Functional_sc_26	34269	+		root (1)	hypothetical protein
NapTol_Functional_sc_26_38	830	31996	32826	NapTol_Functional_sc_26	34269	-		Methanoculleus (45989)	Uncharacterized protein
NapTol_Functional_sc_26_39	944	33082	34026	NapTol_Functional_sc_26	34269	+	1.1.1.169	Methanomicrobiaceae (2194)	2-dehydropantoate 2-reductase (EC 1.1.1.169)
NapTol_Functional_sc_26_40	179	34031	34210	NapTol_Functional_sc_26	34269	-		root (1)	hypothetical protein
NapTol_Functional_sc_25_0	674	303	977	NapTol_Functional_sc_25	35962	+		Firmicutes (1239)	Phosphate regulon transcriptional regulatory protein PhoB (SphR)
NapTol_Functional_sc_25_1	1400	970	2370	NapTol_Functional_sc_25	35962	+		root (1)	hypothetical protein
NapTol_Functional_sc_25_2	1190	2367	3557	NapTol_Functional_sc_25	35962	-		Peptococcaceae (186807)	Cell division topological determinant MinJ
NapTol_Functional_sc_25_3	1175	3625	4800	NapTol_Functional_sc_25	35962	-	3.4.21.102	Peptococcaceae (186807)	Carboxyl-terminal protease (EC 3.4.21.102)
NapTol_Functional_sc_25_4	1145	4976	6121	NapTol_Functional_sc_25	35962	-		Desulfotomaculum (1562)	Membrane proteins related to metalloendopeptidases
NapTol_Functional_sc_25_5	884	6143	7027	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	Cell division protein FtsX
NapTol_Functional_sc_25_6	683	7017	7700	NapTol_Functional_sc_25	35962	-		Clostridia (186801)	Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)
NapTol_Functional_sc_25_7	398	7799	8197	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	phenylacetic acid degradation-like protein
NapTol_Functional_sc_25_8	2027	8272	10299	NapTol_Functional_sc_25	35962	-	3.6.1.1	Monera	Pyrophosphate-energized proton pump (EC 3.6.1.1)
NapTol_Functional_sc_25_9	227	10476	10703	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	Preprotein translocase subunit SecG (TC 3.A.5.1.1)
NapTol_Functional_sc_25_10	356	10809	11165	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	Ribosomal silencing factor RsfA (former Iojap)
NapTol_Functional_sc_25_11	605	11628	12233	NapTol_Functional_sc_25	35962	-	2.7.7.18	Clostridia (186801)	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) ## bacterial NadD family
NapTol_Functional_sc_25_12	1118	12258	13376	NapTol_Functional_sc_25	35962	-	2.7.2.11	Bacteria (2)	Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA
NapTol_Functional_sc_25_13	1265	13453	14718	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	GTP-binding protein Obg
NapTol_Functional_sc_25_14	560	14746	15306	NapTol_Functional_sc_25	35962	-		root (1)	hypothetical protein
NapTol_Functional_sc_25_15	263	15411	15674	NapTol_Functional_sc_25	35962	-		Clostridiales (186802)	LSU ribosomal protein L27p
NapTol_Functional_sc_25_16	317	15695	16012	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	LSU ribosomal protein L21p
NapTol_Functional_sc_25_17	1559	16473	18032	NapTol_Functional_sc_25	35962	+	6.4.1.2	Monera	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / beta 6.4.1.2) Propionyl-CoA carboxylase 6.4.1.3)
NapTol_Functional_sc_25_18	455	18103	18558	NapTol_Functional_sc_25	35962	-		Clostridiales (186802)	Archaeal/vacuolar-type H+-ATPase subunit H
NapTol_Functional_sc_25_19	575	18559	19134	NapTol_Functional_sc_25	35962	-		Peptococcaceae (186807)	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)
NapTol_Functional_sc_25_20	962	19286	20248	NapTol_Functional_sc_25	35962	+	3.4.24.78	Clostridia (186801)	Endopeptidase spore protease Gpr (EC 3.4.24.78)
NapTol_Functional_sc_25_21	254	20426	20680	NapTol_Functional_sc_25	35962	-		Clostridia (186801)	Small acid-soluble spore protein, beta-type SASP
NapTol_Functional_sc_25_22	200	20806	21006	NapTol_Functional_sc_25	35962	-		root (1)	hypothetical protein
NapTol_Functional_sc_25_23	1040	21324	22364	NapTol_Functional_sc_25	35962	-	2.4.2.11	Bacteria (2)	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
NapTol_Functional_sc_25_24	479	22368	22847	NapTol_Functional_sc_25	35962	-	2.5.1.78	Firmicutes (1239)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
NapTol_Functional_sc_25_25	1211	22863	24074	NapTol_Functional_sc_25	35962	-	4.1.99.12	Firmicutes (1239)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_25_26	611	24114	24725	NapTol_Functional_sc_25	35962	-	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
NapTol_Functional_sc_25_27	1085	24793	25878	NapTol_Functional_sc_25	35962	-	3.5.4.26	Clostridia (186801)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase 1.1.1.193)
NapTol_Functional_sc_25_28	653	26170	26823	NapTol_Functional_sc_25	35962	-		Clostridia (186801)	GntR family transcriptional regulator
NapTol_Functional_sc_25_29	1292	27023	28315	NapTol_Functional_sc_25	35962	-	2.3.1.16	Bacteria (2)	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase 2.3.1.9)
NapTol_Functional_sc_25_30	548	28498	29046	NapTol_Functional_sc_25	35962	+		root (1)	hypothetical protein
NapTol_Functional_sc_25_31	440	29131	29571	NapTol_Functional_sc_25	35962	+		Desulfotomaculum kuznetsovii (58135)	MaoC domain-containing protein dehydratase
NapTol_Functional_sc_25_32	440	29600	30040	NapTol_Functional_sc_25	35962	+		root (1)	hypothetical protein
NapTol_Functional_sc_25_33	1079	30044	31123	NapTol_Functional_sc_25	35962	-		Firmicutes (1239)	HAMP domain/GAF domain/HD domain protein
NapTol_Functional_sc_25_34	395	31642	32037	NapTol_Functional_sc_25	35962	-	5.1.99.1	Deltaproteobacteria (28221)	Methylmalonyl-CoA epimerase (EC 5.1.99.1)
NapTol_Functional_sc_25_35	233	32238	32471	NapTol_Functional_sc_25	35962	-		Dehalobacter (56112)	hypothetical protein
NapTol_Functional_sc_25_36	401	32526	32927	NapTol_Functional_sc_25	35962	-		root (1)	hypothetical protein
NapTol_Functional_sc_25_37	179	32991	33170	NapTol_Functional_sc_25	35962	+		root (1)	hypothetical protein
NapTol_Functional_sc_25_38	377	33135	33512	NapTol_Functional_sc_25	35962	-		root (1)	hypothetical protein
NapTol_Functional_sc_25_39	650	34278	34928	NapTol_Functional_sc_25	35962	-	2.7.7.49	Bacteria (2)	Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)
NapTol_Functional_sc_25_40	557	35063	35620	NapTol_Functional_sc_25	35962	-		Bacteria (2)	phage integrase family protein
NapTol_Functional_sc_24_0	725	77	802	NapTol_Functional_sc_24	31719	+		root (1)	hypothetical protein
NapTol_Functional_sc_24_1	302	988	1290	NapTol_Functional_sc_24	31719	+		Alphaproteobacteria (28211)	bll1742 putative transposase
NapTol_Functional_sc_24_2	830	1287	2117	NapTol_Functional_sc_24	31719	+		Proteobacteria (1224)	Transposase OrfAB, subunit B
NapTol_Functional_sc_24_3	1016	2714	3730	NapTol_Functional_sc_24	31719	+		root (1)	hypothetical protein
NapTol_Functional_sc_24_4	590	4498	5088	NapTol_Functional_sc_24	31719	+		Bacteria (2)	MULTISPECIES: restriction endonuclease BglII
NapTol_Functional_sc_24_5	686	5072	5758	NapTol_Functional_sc_24	31719	+		Bacteria (2)	type II DNA modification methyltransferase, putative
NapTol_Functional_sc_24_6	245	6235	6480	NapTol_Functional_sc_24	31719	+		Bacteria (2)	hypothetical protein
NapTol_Functional_sc_24_7	1121	6517	7638	NapTol_Functional_sc_24	31719	+		root (1)	hypothetical protein
NapTol_Functional_sc_24_8	779	7696	8475	NapTol_Functional_sc_24	31719	-	2.3.1.51	Proteobacteria (1224)	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
NapTol_Functional_sc_24_9	329	8751	9080	NapTol_Functional_sc_24	31719	+		root (1)	hypothetical protein
NapTol_Functional_sc_24_10	875	9070	9945	NapTol_Functional_sc_24	31719	+		root (1)	hypothetical protein
NapTol_Functional_sc_24_11	767	10042	10809	NapTol_Functional_sc_24	31719	+		Desulfobacteraceae (213119)	3-hydroxyacyl-CoA dehydrogenase (hbd-2)
NapTol_Functional_sc_24_12	1934	11098	13032	NapTol_Functional_sc_24	31719	+		Proteobacteria (1224)	Kup system potassium uptake protein
NapTol_Functional_sc_24_13	440	13054	13494	NapTol_Functional_sc_24	31719	+		Chlorobaculum parvum (274539)	Cupin 2, conserved barrel domain protein
NapTol_Functional_sc_24_14	644	13539	14183	NapTol_Functional_sc_24	31719	-		Desulfatibacillum alkenivorans (259354)	PHP domain-containing protein
NapTol_Functional_sc_24_15	224	14220	14444	NapTol_Functional_sc_24	31719	-		Bacteria (2)	hypothetical protein
NapTol_Functional_sc_24_16	1700	14872	16572	NapTol_Functional_sc_24	31719	+	6.2.1.3	Bacteria (2)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
NapTol_Functional_sc_24_17	395	16644	17039	NapTol_Functional_sc_24	31719	-		Desulfobacteraceae (213119)	UspA domain protein
NapTol_Functional_sc_24_18	629	17246	17875	NapTol_Functional_sc_24	31719	+	1.1.1.95	Clostridiales (186802)	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
NapTol_Functional_sc_24_19	509	17957	18466	NapTol_Functional_sc_24	31719	-	1.14.13.3	Peptococcaceae (186807)	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)
NapTol_Functional_sc_24_20	356	18408	18764	NapTol_Functional_sc_24	31719	-	1.14.13.3	Monera	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)
NapTol_Functional_sc_24_21	1241	19033	20274	NapTol_Functional_sc_24	31719	-		root (1)	hypothetical protein
NapTol_Functional_sc_24_22	1313	20527	21840	NapTol_Functional_sc_24	31719	+		root (1)	hypothetical protein
NapTol_Functional_sc_24_23	740	21963	22703	NapTol_Functional_sc_24	31719	+		Bacteria (2)	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
NapTol_Functional_sc_24_24	590	22764	23354	NapTol_Functional_sc_24	31719	+		Monera	putative iron-sulfur flavoprotein
NapTol_Functional_sc_24_25	572	23406	23978	NapTol_Functional_sc_24	31719	-		root (1)	hypothetical protein
NapTol_Functional_sc_24_26	455	23932	24387	NapTol_Functional_sc_24	31719	-		Syntrophobacterales (213462)	Transcription termination protein NusB
NapTol_Functional_sc_24_27	470	24542	25012	NapTol_Functional_sc_24	31719	-	2.5.1.78	Bacteria (2)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
NapTol_Functional_sc_24_28	1202	25039	26241	NapTol_Functional_sc_24	31719	-	4.1.99.12	Bacteria (2)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_24_29	635	26254	26889	NapTol_Functional_sc_24	31719	-	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9) [Haemophilus
NapTol_Functional_sc_24_30	461	26892	27353	NapTol_Functional_sc_24	31719	-		Bacteria (2)	Ribonucleotide reductase transcriptional regulator NrdR
NapTol_Functional_sc_24_31	494	27375	27869	NapTol_Functional_sc_24	31719	-	3.5.4.12	Bacteria (2)	dCMP deaminase (EC 3.5.4.12) Late competence protein ComEB
NapTol_Functional_sc_24_32	1250	27924	29174	NapTol_Functional_sc_24	31719	-	2.1.2.1	Bacteria (2)	Serine hydroxymethyltransferase (EC 2.1.2.1)
NapTol_Functional_sc_24_33	1241	29199	30440	NapTol_Functional_sc_24	31719	-	2.3.1.41	Bacteria (2)	3-oxoacyl- synthase, KASII (EC 2.3.1.41)
NapTol_Functional_sc_24_34	236	30464	30700	NapTol_Functional_sc_24	31719	-		Bacteria (2)	Acyl carrier protein
NapTol_Functional_sc_24_35	185	30812	30997	NapTol_Functional_sc_24	31719	-		Bacteria (2)	LSU ribosomal protein L32p @ L32p, zinc-dependent
NapTol_Functional_sc_24_36	698	31019	31717	NapTol_Functional_sc_24	31719	-		root (1)	hypothetical protein
NapTol_Functional_sc_23_0	1745	354	2099	NapTol_Functional_sc_23	14616	+	1.17.4.2	Bacteria (2)	Ribonucleotide reductase class III (anaerobic), large subunit (EC 1.17.4.2)
NapTol_Functional_sc_23_1	878	2116	2994	NapTol_Functional_sc_23	14616	+		root (1)	hypothetical protein
NapTol_Functional_sc_23_2	1694	3025	4719	NapTol_Functional_sc_23	14616	-		Bacteria (2)	von Willebrand factor type A domain protein
NapTol_Functional_sc_23_3	173	4844	5017	NapTol_Functional_sc_23	14616	+		root (1)	hypothetical protein
NapTol_Functional_sc_23_4	809	4995	5804	NapTol_Functional_sc_23	14616	-		Treponema caldaria (215591)	Haloacid dehalogenase domain-containing protein hydrolase
NapTol_Functional_sc_23_5	626	5789	6415	NapTol_Functional_sc_23	14616	-	2.5.1.3	Treponema caldaria (215591)	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)
NapTol_Functional_sc_23_6	824	6402	7226	NapTol_Functional_sc_23	14616	-	2.7.1.50	Bacteria (2)	Hydroxyethylthiazole kinase (EC 2.7.1.50)
NapTol_Functional_sc_23_7	818	7223	8041	NapTol_Functional_sc_23	14616	-	2.7.4.7	Bacteria (2)	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
NapTol_Functional_sc_23_8	1298	8031	9329	NapTol_Functional_sc_23	14616	-	4.1.99.17	Bacteria (2)	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17)
NapTol_Functional_sc_23_9	467	9651	10118	NapTol_Functional_sc_23	14616	-	2.5.1.78	Bacteria (2)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
NapTol_Functional_sc_23_10	1241	10115	11356	NapTol_Functional_sc_23	14616	-	4.1.99.12	Firmicutes (1239)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II 3.5.4.25)
NapTol_Functional_sc_23_11	668	11356	12024	NapTol_Functional_sc_23	14616	-	2.5.1.9	Bacteria (2)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9) [Haemophilus
NapTol_Functional_sc_23_12	1106	12009	13115	NapTol_Functional_sc_23	14616	-	3.5.4.26	Clostridia (186801)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase 1.1.1.193)
NapTol_Functional_sc_23_13	401	13400	13801	NapTol_Functional_sc_23	14616	-	1.7.1.13	Bacteria (2)	NADPH dependent preQ0 reductase (EC 1.7.1.13)
NapTol_Functional_sc_23_14	689	13801	14490	NapTol_Functional_sc_23	14616	-		Bacteria (2)	Putative preQ0 transporter
