id	seqname	start	end	strand	ec	taxonomy	product
NapDC-17-O12_trimmed_k160-6.fa_0_22	NapDC-17-O12_trimmed_k160-6.fa_0	14323	14835	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_23	NapDC-17-O12_trimmed_k160-6.fa_0	15038	15352	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_24	NapDC-17-O12_trimmed_k160-6.fa_0	15396	15755	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_25	NapDC-17-O12_trimmed_k160-6.fa_0	15782	16294	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_26	NapDC-17-O12_trimmed_k160-6.fa_0	16416	16706	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_27	NapDC-17-O12_trimmed_k160-6.fa_0	16703	16948	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_28	NapDC-17-O12_trimmed_k160-6.fa_0	16955	17329	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_29	NapDC-17-O12_trimmed_k160-6.fa_0	17439	17669	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_30	NapDC-17-O12_trimmed_k160-6.fa_0	17713	18252	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_31	NapDC-17-O12_trimmed_k160-6.fa_0	18605	18718	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_32	NapDC-17-O12_trimmed_k160-6.fa_0	18886	19386	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_33	NapDC-17-O12_trimmed_k160-6.fa_0	19527	19835	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_34	NapDC-17-O12_trimmed_k160-6.fa_0	19837	20052	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_35	NapDC-17-O12_trimmed_k160-6.fa_0	20057	20335	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_36	NapDC-17-O12_trimmed_k160-6.fa_0	20358	21443	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_37	NapDC-17-O12_trimmed_k160-6.fa_0	21449	24307	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_38	NapDC-17-O12_trimmed_k160-6.fa_0	24334	25224	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_39	NapDC-17-O12_trimmed_k160-6.fa_0	25487	25768	+			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_40	NapDC-17-O12_trimmed_k160-6.fa_0	25743	27356	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_41	NapDC-17-O12_trimmed_k160-6.fa_0	27358	28959	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_42	NapDC-17-O12_trimmed_k160-6.fa_0	28965	29507	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_43	NapDC-17-O12_trimmed_k160-6.fa_0	29510	31069	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_44	NapDC-17-O12_trimmed_k160-6.fa_0	31144	32739	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_45	NapDC-17-O12_trimmed_k160-6.fa_0	32948	33649	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_46	NapDC-17-O12_trimmed_k160-6.fa_0	33708	34184	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_47	NapDC-17-O12_trimmed_k160-6.fa_0	34189	34518	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_48	NapDC-17-O12_trimmed_k160-6.fa_0	34608	35462	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_49	NapDC-17-O12_trimmed_k160-6.fa_0	35515	36081	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_50	NapDC-17-O12_trimmed_k160-6.fa_0	36178	36594	-			hypothetical protein
